review_id,restaurant_id,rating,review_text,review_date
REV-00001,CLT-001,3,Some dishes were better than others at Olive Garden. The team here really knows how to take care of their guests. We couldn't stop eating the lasagna.,2023-04-15
REV-00002,CLT-001,4,The pasta was absolutely delicious. Great spot for brunch in the Greater Charlotte area. The energy in this place is always lively and welcoming.,2024-07-12
REV-00003,CLT-001,5,Best italian food I've had in Charlotte. The staff at Olive Garden made us feel welcome from the start. Our server was friendly and attentive. Service was fast even on a busy Saturday night. The menu has a great variety of italian options. Average italian restaurant in Charlotte.,2024-07-19
REV-00004,CLT-001,2,The restaurant was way too loud — couldn't hear our conversation. We waited over 30 minutes just to get our drinks. The service was slow and inattentive. Our server seemed overwhelmed and forgot our order twice. The place could use a serious deep clean.,2024-11-30
REV-00005,CLT-001,4,Best italian food I've had in Charlotte. The energy in this place is always lively and welcoming. Our server was friendly and attentive. They accommodated our dietary restrictions without any fuss.,2023-03-09
REV-00006,CLT-002,5,"They accommodated our dietary restrictions without any fuss. The staff at All American Pub made us feel welcome from the start. The outdoor patio is fantastic, especially in the evening. The decor gives it a cozy, authentic feel. We couldn't stop eating the grilled chicken.",2023-04-04
REV-00007,CLT-002,4,"Their steak rivals anything I've had in South End. Average american restaurant in Charlotte. The outdoor patio is fantastic, especially in the evening.",2023-01-12
REV-00008,CLT-002,5,"The outdoor patio is fantastic, especially in the evening. They accommodated our dietary restrictions without any fuss. The energy in this place is always lively and welcoming.",2024-05-27
REV-00009,CLT-002,4,The team here really knows how to take care of their guests. The american flavors were authentic and well-balanced. The South End location has a great vibe.,2023-11-28
REV-00010,CLT-002,4,The staff at All American Pub made us feel welcome from the start. The South End location has a great vibe. We couldn't stop eating the fries.,2023-05-12
REV-00011,CLT-002,5,"The decor gives it a cozy, authentic feel. The energy in this place is always lively and welcoming. The team here really knows how to take care of their guests. The decor gives it a cozy, authentic feel.",2023-09-11
